matricule,nom,prenom,filiere,niveau,groupe,email
ESI240019,OUALI,Hamza,Ingénieur d'état en Informatique,2CP,2CP-G3,h.ouali@esi-sba.dz
ESI240020,KACI,Fares,Ingénieur d'état en Informatique,2CP,2CP-G4,f.kaci@esi-sba.dz
ESI230001,TOUATI,Hanane,Ingénieur d'état en Informatique,1CS,1CS-G1,h.touati@esi-sba.dz
ESI230002,MERABET,Houria,Ingénieur d'état en Informatique,1CS,1CS-G2,h.merabet@esi-sba.dz
ESI230003,YAHIAOUI,Adel,Ingénieur d'état en Informatique,1CS,1CS-G3,a.yahiaoui@esi-sba.dz
ESI230004,LAHCEN,Soumia,Ingénieur d'état en Informatique,1CS,1CS-G4,s.lahcen@esi-sba.dz
ESI230005,SAOUDI,Wissem,Ingénieur d'état en Informatique,1CS,1CS-G5,w.saoudi@esi-sba.dz
ESI230006,LEMKEDDEM,Ibrahim,Ingénieur d'état en Informatique,1CS,1CS-G6,i.lemkeddem@esi-sba.dz
ESI230007,ZIANI,Adel,Ingénieur d'état en Informatique,1CS,1CS-G1,a.ziani@esi-sba.dz
ESI230008,MADANI,Nesrine,Ingénieur d'état en Informatique,1CS,1CS-G2,n.madani@esi-sba.dz
ESI230009,KHELIFI,Imane,Ingénieur d'état en Informatique,1CS,1CS-G3,i.khelifi@esi-sba.dz
ESI230010,BOUZIDI,Nesrine,Ingénieur d'état en Informatique,1CS,1CS-G4,n.bouzidi@esi-sba.dz
ESI230011,BELKACEMI,Bilal,Ingénieur d'état en Informatique,1CS,1CS-G5,b.belkacemi@esi-sba.dz
ESI230012,JABI,Ibrahim,Ingénieur d'état en Informatique,1CS,1CS-G6,i.jabi@esi-sba.dz
ESI230013,RAMDANE,Nassim,Ingénieur d'état en Informatique,1CS,1CS-G1,n.ramdane@esi-sba.dz
ESI230014,HADDAD,Mehdi,Ingénieur d'état en Informatique,1CS,1CS-G2,m.haddad@esi-sba.dz
ESI230015,KHELIFI,Karima,Ingénieur d'état en Informatique,1CS,1CS-G3,k.khelifi@esi-sba.dz
ESI230016,BELKACEMI,Soumia,Ingénieur d'état en Informatique,1CS,1CS-G4,s.belkacemi@esi-sba.dz
ESI220001,LOUNIS,Rachid,Ingénieur d'état en Informatique,2CS,2CS-G1,r.lounis@esi-sba.dz
ESI220002,JABI,Oumaima,Ingénieur d'état en Informatique,2CS,2CS-G2,o.jabi@esi-sba.dz
ESI220003,OUALI,Fatima,Ingénieur d'état en Informatique,2CS,2CS-G3,f.ouali@esi-sba.dz
ESI220004,CHERIF,Yacine,Ingénieur d'état en Informatique,2CS,2CS-G4,y.cherif@esi-sba.dz
ESI220005,GUERFI,Adel,Ingénieur d'état en Informatique,2CS,2CS-G1,a.guerfi@esi-sba.dz
ESI220006,FERHAT,Sihem,Ingénieur d'état en Informatique,2CS,2CS-G2,s.ferhat@esi-sba.dz
ESI220007,GHEZAL,Nadia,Ingénieur d'état en Informatique,2CS,2CS-G3,n.ghezal@esi-sba.dz
ESI220008,ZERROUK,Meriem,Ingénieur d'état en Informatique,2CS,2CS-G4,m.zerrouk@esi-sba.dz
ESI220009,SAOUDI,Sofiane,Ingénieur d'état en Informatique,2CS,2CS-G1,s.saoudi@esi-sba.dz
ESI220010,FEDAOUI,Nassim,Ingénieur d'état en Informatique,2CS,2CS-G2,n.fedaoui@esi-sba.dz
ESI220011,BOUKHARI,Nassim,Ingénieur d'état en Informatique,2CS,2CS-G3,n.boukhari@esi-sba.dz
ESI220012,BERKANE,Rania,Ingénieur d'état en Informatique,2CS,2CS-G4,r.berkane@esi-sba.dz
ESI210001,ELLOUMI,Nassim,Ingénieur d'état en Informatique,3CS,3CS-G1,n.elloumi@esi-sba.dz
ESI210002,SEBAA,Naila,Ingénieur d'état en Informatique,3CS,3CS-G2,n.sebaa@esi-sba.dz
ESI210003,SLIMANI,Yacine,Ingénieur d'état en Informatique,3CS,3CS-G1,y.slimani@esi-sba.dz
ESI210004,BENSALEM,Tarek,Ingénieur d'état en Informatique,3CS,3CS-G2,t.bensalem@esi-sba.dz
ESI210005,MEBARKI,Naila,Ingénieur d'état en Informatique,3CS,3CS-G1,n.mebarki@esi-sba.dz
ESI210006,BENALI,Oumaima,Ingénieur d'état en Informatique,3CS,3CS-G2,o.benali@esi-sba.dz
ESI210007,BERKANE,Wissem,Ingénieur d'état en Informatique,3CS,3CS-G1,w.berkane@esi-sba.dz
ESI210008,KACI,Mourad,Ingénieur d'état en Informatique,3CS,3CS-G2,m.kaci@esi-sba.dz
